"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
220,113.00,50.00,"Allen, Joseph P.","Allen, Joseph P.","M",1937.00,"U.S.","Civ","NASA- 6",1967.00,2.00,2.00,"MSP",1984.00,"STS-51-A","STS-51-A","STS-51-A","STS-51-A",191.00,314.00,2.00,11.70,11.70
221,114.00,51.00,"Lenoir, William B.","Lenoir, William B.","M",1939.00,"U.S.","Civ","NASA- 6",1967.00,1.00,1.00,"MSP",1982.00,"STS-5","STS-5","STS-5","STS-5",122.00,122.00,0.00,0.00,0.00
222,115.00,52.00,"Bobko, Karol J.","Bobko, Karol J.","M",1937.00,"U.S.","Mil","1966 USAF MOL Gropu 2, NASA- 7",1969.00,1.00,3.00,"pilot",1983.00,"STS-6","STS-6","STS-6","STS-6",122.00,386.00,0.00,0.00,0.00
223,115.00,52.00,"Bobko, Karol J.","Bobko, Karol J.","M",1937.00,"U.S.","Mil","1966 USAF MOL Gropu 2, NASA- 7",1969.00,2.00,3.00,"commander",1985.00,"STS-51-D","STS-51-D","STS-51-D","STS-51-D",236.00,386.00,0.00,0.00,0.00
224,115.00,52.00,"Bobko, Karol J.","Bobko, Karol J.","M",1937.00,"U.S.","Mil","1966 USAF MOL Gropu 2, NASA- 7",1969.00,3.00,3.00,"commander",1985.00,"STS-51-J","STS-51-J","STS-51-J","STS-51-J",98.00,386.00,0.00,0.00,0.00
225,116.00,53.00,"Peterson, Donald H.","Peterson, Donald H.","M",1933.00,"U.S.","Mil","MOL-3 / NASA-7",1969.00,1.00,1.00,"MSP",1983.00,"STS-6","STS-6","STS-6","STS-6",120.00,120.00,1.00,3.83,3.83
226,117.00,54.00,"Musgrave, Franklin Story","Musgrave, Franklin Story","M",1935.00,"U.S.","Civ","NASA-6",1967.00,1.00,6.00,"MSP",1983.00,"STS-6","STS-6","STS-6","STS-6",120.00,1281.00,1.00,3.87,25.90
227,117.00,54.00,"Musgrave, Franklin Story","Musgrave, Franklin Story","M",1935.00,"U.S.","Civ","NASA-6",1967.00,2.00,6.00,"MSP",1985.00,"STS-51F","STS-51F","STS-51F","STS-51F",191.00,1281.00,0.00,0.00,25.90
228,117.00,54.00,"Musgrave, Franklin Story","Musgrave, Franklin Story","M",1935.00,"U.S.","Civ","NASA-6",1967.00,3.00,6.00,"MSP",1989.00,"STS-33","STS-33","STS-33","STS-33",168.00,1281.00,0.00,0.00,25.90
229,117.00,54.00,"Musgrave, Franklin Story","Musgrave, Franklin Story","M",1935.00,"U.S.","Civ","NASA-6",1967.00,4.00,6.00,"MSP",1991.00,"STS-44","STS-44","STS-44","STS-44",167.00,1281.00,0.00,0.00,25.90
230,117.00,54.00,"Musgrave, Franklin Story","Musgrave, Franklin Story","M",1935.00,"U.S.","Civ","NASA-6",1967.00,5.00,6.00,"MSP",1993.00,"STS-61","STS-61","STS-61","STS-61",260.00,1281.00,3.00,22.03,25.90
231,117.00,54.00,"Musgrave, Franklin Story","Musgrave, Franklin Story","M",1935.00,"U.S.","Civ","NASA-6",1967.00,6.00,6.00,"MSP",1996.00,"STS-80","STS-80","STS-80","STS-80",424.00,1281.00,0.00,0.00,25.90
232,118.00,54.00,"Titov, Vladimir","Владимир Георгиевич Титов","M",1947.00,"U.S.S.R/Russia","Mil","TsPK-6",1976.00,1.00,4.00,"commander",1983.00,"Soyuz T­8","Soyuz T­8","Soyuz T­8","Soyuz T­8",48.00,9288.75,0.00,0.00,18.80
233,118.00,54.00,"Titov, Vladimir","Владимир Георгиевич Титов","M",1947.00,"U.S.S.R/Russia","Mil","TsPK-7",1976.00,2.00,4.00,"commander",1988.00,"3","Soyuz TM­4","Mir","Soyuz TM­6",8782.00,9288.75,3.00,13.78,18.80
234,118.00,54.00,"Titov, Vladimir","Владимир Георгиевич Титов","M",1947.00,"U.S.S.R/Russia","Mil","TsPK-8",1976.00,3.00,4.00,"MSP",1995.00,"STS­63","STS­63","STS­63","STS­63",198.00,9288.75,0.00,0.00,18.80
235,118.00,54.00,"Titov, Vladimir","Владимир Георгиевич Титов","M",1947.00,"U.S.S.R/Russia","Mil","TsPK-9",1976.00,4.00,4.00,"commander",1997.00,"24","STS­86","Mir","STS­86",259.00,9288.75,1.00,5.02,18.80
236,119.00,55.00,"Hauck, Frederick H.","Hauck, Frederick H.","M",1941.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,1.00,3.00,"pilot",1983.00,"STS-7","STS-7","STS-7","STS-7",146.00,434.00,0.00,0.00,0.00
237,119.00,55.00,"Hauck, Frederick H.","Hauck, Frederick H.","M",1941.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,2.00,3.00,"commander",1984.00,"STS-51-A","STS-51-A","STS-51-A","STS-51-A",191.00,434.00,0.00,0.00,0.00
238,119.00,55.00,"Hauck, Frederick H.","Hauck, Frederick H.","M",1941.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,3.00,3.00,"commander",1988.00,"STS-26","STS-26","STS-26","STS-26",97.00,434.00,0.00,0.00,0.00
239,120.00,56.00,"Fabian, John M.","Fabian, John M.","M",1939.00,"U.S.","Mil","NASA- 8",1978.00,1.00,2.00,"MSP",1983.00,"STS-7","STS-7","STS-7","STS-7",146.00,316.00,0.00,0.00,0.00
240,120.00,56.00,"Fabian, John M.","Fabian, John M.","M",1939.00,"U.S.","Mil","NASA- 8",1978.00,2.00,2.00,"MSP",1985.00,"STS-51-G","STS-51-G","STS-51-G","STS-51-G",170.00,316.00,0.00,0.00,0.00
241,121.00,57.00,"Ride, Sally K.","Ride, Sally K.","F",1951.00,"U.S.","Civ","NASA-8",1978.00,1.00,2.00,"MSP",1983.00,"STS-7","STS-7","STS-7","STS-7",147.00,343.00,0.00,0.00,0.00
242,121.00,57.00,"Ride, Sally K.","Ride, Sally K.","F",1951.00,"U.S.","Civ","NASA-8",1978.00,2.00,2.00,"MSP",1984.00,"STS-41-G","STS-41-G","STS-41-G","STS-41-G",197.00,343.00,0.00,0.00,0.00
243,122.00,58.00,"Thagard, Norman E.","Thagard, Norman E.","M",1943.00,"U.S.","Civ","1978 NASA group",1978.00,1.00,5.00,"MSP",1983.00,"STS-7","STS-7","STS-7","STS-7",147.00,3373.40,0.00,0.00,0.00
244,122.00,58.00,"Thagard, Norman E.","Thagard, Norman E.","M",1943.00,"U.S.","Civ","1978 NASA group",1978.00,2.00,5.00,"MSP",1985.00,"STS-51B","STS-51B","STS-51B","STS-51B",168.00,3373.40,0.00,0.00,0.00
245,122.00,58.00,"Thagard, Norman E.","Thagard, Norman E.","M",1943.00,"U.S.","Civ","1978 NASA group",1978.00,3.00,5.00,"MSP",1989.00,"STS-30","STS-30","STS-30","STS-30",97.00,3373.40,0.00,0.00,0.00
246,122.00,58.00,"Thagard, Norman E.","Thagard, Norman E.","M",1943.00,"U.S.","Civ","1978 NASA group",1978.00,4.00,5.00,"MSP",1992.00,"STS-42","STS-42","STS-42","STS-42",192.00,3373.40,0.00,0.00,0.00
247,122.00,58.00,"Thagard, Norman E.","Thagard, Norman E.","M",1943.00,"U.S.","Civ","1978 NASA group",1978.00,5.00,5.00,"MSP",1995.00,"18","Soyuz-TM21","Mir","STS-71",2760.00,3373.40,0.00,0.00,0.00
248,123.00,55.00,"Aleksandrov, Aleksandr","Александр Павлович Александров","M",1943.00,"U.S.S.R/Russia","Civ","NPOE-4",1978.00,1.00,2.00,"flight engineer",1983.00,"Salyut 7","Soyuz T­9","Salyut 7","Soyuz T­9",3586.00,7434.03,2.00,5.86,5.86
249,123.00,55.00,"Aleksandrov, Aleksandr","Александр Павлович Александров","M",1943.00,"U.S.S.R/Russia","Civ","NPOE-4",1978.00,2.00,2.00,"flight engineer",1987.00,"2","Soyuz TM­3","Mir","Soyuz TM­3",3847.00,7434.03,0.00,0.00,5.86
250,124.00,59.00,"Brandenstein, Daniel C.","Brandenstein, Daniel C.","M",1943.00,"U.S.","Mil","NASA- 8",1978.00,1.00,4.00,"pilot",1983.00,"STS-8","STS-8","STS-8","STS-8",145.00,789.00,0.00,0.00,0.00
251,124.00,59.00,"Brandenstein, Daniel C.","Brandenstein, Daniel C.","M",1943.00,"U.S.","Mil","NASA- 8",1978.00,2.00,4.00,"commander",1985.00,"STS-51-G","STS-51-G","STS-51-G","STS-51-G",170.00,789.00,0.00,0.00,0.00
252,124.00,59.00,"Brandenstein, Daniel C.","Brandenstein, Daniel C.","M",1943.00,"U.S.","Mil","NASA- 8",1978.00,3.00,4.00,"commander",1990.00,"STS-32","STS-32","STS-32","STS-32",261.00,789.00,0.00,0.00,0.00
253,124.00,59.00,"Brandenstein, Daniel C.","Brandenstein, Daniel C.","M",1943.00,"U.S.","Mil","NASA- 8",1978.00,4.00,4.00,"commander",1992.00,"STS-49","STS-49","STS-49","STS-49",213.00,789.00,0.00,0.00,0.00
254,125.00,60.00,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.","M",1942.00,"U.S.","Mil","NASA- 8",1978.00,1.00,4.00,"MSP",1983.00,"STS-8","STS-8","STS-8","STS-8",31.00,688.00,0.00,0.00,0.00
255,125.00,60.00,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.","M",1942.00,"U.S.","Mil","NASA- 8",1978.00,2.00,4.00,"MSP",1985.00,"STS-61-A","STS-61-A","STS-61-A","STS-61-A",168.00,688.00,0.00,0.00,0.00
256,125.00,60.00,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.","M",1942.00,"U.S.","Mil","NASA- 8",1978.00,3.00,4.00,"MSP",1991.00,"STS-39","STS-39","STS-39","STS-39",199.00,688.00,0.00,0.00,0.00
257,125.00,60.00,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.","M",1942.00,"U.S.","Mil","NASA- 8",1978.00,4.00,4.00,"MSP",1992.00,"STS-53","STS-53","STS-53","STS-53",175.00,688.00,0.00,0.00,0.00
258,126.00,61.00,"Gardner, Dale A.","Gardner, Dale A.","M",1948.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,1.00,2.00,"MSP",1983.00,"STS-8","STS-8","STS-8, INSAT-1B","STS-8",145.00,336.00,0.00,0.00,12.00
259,126.00,61.00,"Gardner, Dale A.","Gardner, Dale A.","M",1948.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,2.00,2.00,"MSP",1984.00,"STS-51A","STS-51A","STS-51A","STS-51A",191.00,336.00,2.00,12.00,12.00
260,127.00,62.00,"Thornton, William E.","Thornton, William E.","M",1929.00,"U.S.","Civ","1967 NASA group",1967.00,1.00,2.00,"MSP",1983.00,"STS-8","STS-8","STS-8","STS-8",145.00,313.26,0.00,0.00,0.00
261,127.00,62.00,"Thornton, William E.","Thornton, William E.","M",1929.00,"U.S.","Civ","1967 NASA group",1967.00,2.00,2.00,"MSP",1985.00,"STS-51-B","STS-51-B","STS-51-B","STS-51-B",169.00,313.26,0.00,0.00,0.00
262,128.00,63.00,"Shaw, Brewster H., Jr.","Shaw, Brewster H., Jr.","M",1945.00,"U.S.","Mil","1978 NASA group 8",1978.00,1.00,3.00,"pilot",1983.00,"STS-9","STS-9","STS-9","STS-9",247.75,533.75,0.00,0.00,0.00
263,128.00,63.00,"Shaw, Brewster H., Jr.","Shaw, Brewster H., Jr.","M",1945.00,"U.S.","Mil","1979 NASA group 8",1978.00,2.00,3.00,"commander",1985.00,"STS-61-B","STS-61-B","STS-61-B","STS-61-B",165.00,533.75,0.00,0.00,0.00
264,128.00,63.00,"Shaw, Brewster H., Jr.","Shaw, Brewster H., Jr.","M",1945.00,"U.S.","Mil","1980 NASA group 8",1978.00,3.00,3.00,"commander",1989.00,"STS-28","STS-28","STS-28","STS-28",121.00,533.75,0.00,0.00,0.00
265,129.00,64.00,"Parker, Robert A. R.","Parker, Robert A. R.","M",1936.00,"U.S.","Civ","NASA-6",1967.00,1.00,2.00,"MSP",1983.00,"STS-9","STS-9","STS-9","STS-9",248.00,463.00,0.00,0.00,0.00
266,129.00,64.00,"Parker, Robert A. R.","Parker, Robert A. R.","M",1936.00,"U.S.","Civ","NASA-6",1967.00,2.00,2.00,"MSP",1990.00,"STS-35","STS-35","STS-35","STS-35",215.00,463.00,0.00,0.00,0.00
267,130.00,65.00,"Lichtenberg, Byron Kurt","Lichtenberg, Byron Kurt","M",1948.00,"U.S.","Mil","NASA-9",1982.00,1.00,2.00,"PSP",1983.00,"Spacelab 1","STS-9","STS-9","STS-9",247.94,462.31,0.00,0.00,0.00
268,130.00,65.00,"Lichtenberg, Byron Kurt","Lichtenberg, Byron Kurt","M",1948.00,"U.S.","Mil","NASA-9",1982.00,2.00,2.00,"PSP",1992.00,"Atlas-1","STS-45","STS-45","STS-45",214.37,462.31,0.00,0.00,0.00
269,131.00,1.00,"Merbold, Ulf","Merbold, Ulf","M",1941.00,"Germany","Civ","ESA-1",1978.00,1.00,3.00,"PSP",1983.00,"STS-9","STS-9","STS-9","STS-9",248.00,1197.60,0.00,0.00,0.00
270,131.00,1.00,"Merbold, Ulf","Merbold, Ulf","M",1941.00,"Germany","Civ","ESA-1",1978.00,2.00,3.00,"PSP",1992.00,"STS-42","STS-42","STS-42","STS-42",193.00,1197.60,0.00,0.00,0.00
271,131.00,1.00,"Merbold, Ulf","Merbold, Ulf","M",1941.00,"Germany","Civ","ESA-1",1978.00,3.00,3.00,"MSP",1994.00,"Euromir 94","Soyuz TM-20","Euromir 94","Soyuz TM-19",756.60,1197.60,0.00,0.00,0.00
272,132.00,66.00,"Gibson, Robert L.","Gibson, Robert L.","M",1946.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,1.00,5.00,"pilot",1984.00,"STS-41-B","STS-41-B","STS-41-B","STS-41-B",191.25,868.13,0.00,0.00,0.00
273,132.00,66.00,"Gibson, Robert L.","Gibson, Robert L.","M",1946.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,2.00,5.00,"commander",1986.00,"STS-61-C","STS-61-C","STS-61-C","STS-61-C",146.00,868.13,0.00,0.00,0.00
274,132.00,66.00,"Gibson, Robert L.","Gibson, Robert L.","M",1946.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,3.00,5.00,"commander",1988.00,"STS-27","STS-27","STS-27","STS-27",105.00,868.13,0.00,0.00,0.00
275,132.00,66.00,"Gibson, Robert L.","Gibson, Robert L.","M",1946.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,4.00,5.00,"commander",1992.00,"STS-47","STS-47","STS-47","STS-47",190.50,868.13,0.00,0.00,0.00
276,132.00,66.00,"Gibson, Robert L.","Gibson, Robert L.","M",1946.00,"U.S.","Mil","NASA Astronaut Group 8",1978.00,5.00,5.00,"commander",1995.00,"STS-71","STS-71","STS-71","STS-71",235.38,868.13,0.00,0.00,0.00
277,133.00,67.00,"McNair, Ronald E.","McNair, Ronald E.","M",1950.00,"U.S.","Civ","NASA- 8",1978.00,1.00,2.00,"MSP",1984.00,"STS-41-B","STS-41-B","STS-41-B","STS-41-B",191.00,191.00,2.00,12.02,12.02
278,133.00,67.00,"McNair, Ronald E.","McNair, Ronald E.","M",1950.00,"U.S.","Civ","NASA- 8",1978.00,2.00,2.00,"MSP",1986.00,"STS-51-L","STS-51-L","explosion","explosion",0.00,191.00,0.00,0.00,12.02
279,134.00,68.00,"Stewart, Robert L.","Stewart, Robert L.","M",1942.00,"U.S.","Mil","1978 NASA group",1978.00,1.00,2.00,"MSP",1984.00,"STS-41 B","STS-41 B","STS-41 B","STS-41 B",191.50,289.20,2.00,11.95,11.95
280,134.00,68.00,"Stewart, Robert L.","Stewart, Robert L.","M",1942.00,"U.S.","Mil","1978 NASA group",1978.00,2.00,2.00,"MSP",1985.00,"STS-51 J","STS-51 J","STS-51 J","STS-51 J",97.70,289.20,0.00,0.00,11.95
281,135.00,69.00,"McCandless, Bruce, II","McCandless, Bruce, II","M",1937.00,"U.S.","Mil","NASA- 5",1966.00,1.00,2.00,"MSP",1984.00,"STS-41-B","STS-41-B","STS-41-B","STS-41-B",191.00,312.00,2.00,11.95,11.95
282,135.00,69.00,"McCandless, Bruce, II","McCandless, Bruce, II","M",1937.00,"U.S.","Mil","NASA- 5",1966.00,2.00,2.00,"MSP",1990.00,"STS-31","STS-31","STS-31","STS-31",121.00,312.00,0.00,0.00,11.95
283,136.00,56.00,"Solovyov, Vladimir","Владимир Алексеевич Соловьёв","M",1946.00,"U.S.S.R/Russia","Civ","NPOE-4",1978.00,1.00,2.00,"flight engineer",1984.00,"Salyut 7","Soyuz T­10","Salyut 7","Soyuz T­11",5686.00,8686.82,6.00,22.83,31.67
284,136.00,56.00,"Solovyov, Vladimir","Владимир Алексеевич Соловьёв","M",1946.00,"U.S.S.R/Russia","Civ","NPOE-4",1978.00,2.00,2.00,"flight engineer",1986.00,"1","Soyuz T­15","Mir/Salyut 7","Soyuz T­15",3000.00,8686.82,2.00,8.83,31.67
285,137.00,57.00,"Atkov, Oleg","Олег Юрьевич Атьков","M",1949.00,"U.S.S.R/Russia","Civ","AMN",1983.00,1.00,1.00,"MSP",1984.00,"Salyut 7","Soyuz T-10","Salyut 7","Soyuz T-11",5686.00,5686.82,0.00,0.00,0.00
286,138.00,1.00,"Rakesh Sharma","राकेश शर्मा","M",1949.00,"India","Mil","1982 Soviet Intercosmos Space Program",1982.00,1.00,1.00,"pilot",1984.00,"Salyut 7","Soyuz T-10","Salyut 7","Soyuz T-11",4365.80,4365.80,0.00,0.00,0.00
287,139.00,70.00,"Scobee, Francis R.","Scobee, Francis R.","M",1939.00,"U.S.","Mil","1978 NASA group 8",1978.00,1.00,2.00,"pilot",1984.00,"STS-41-C","STS-41-C","STS-41-C","STS-41-C",168.00,168.00,0.00,0.00,0.00
288,139.00,70.00,"Scobee, Francis R.","Scobee, Francis R.","M",1939.00,"U.S.","Mil","1978 NASA group 8",1978.00,2.00,2.00,"commander",1986.00,"STS-51-L","STS-51-L","explosion","explosion",0.00,168.00,0.00,0.00,0.00
289,140.00,71.00,"Hart, Terry J.","Hart, Terry J.","M",1946.00,"U.S.","Civ","NASA Astronaut Group 8",1978.00,1.00,1.00,"MSP",1984.00,"STS-41-C","STS-41-C","STS-41-C","STS-41-C",167.67,167.67,0.00,0.00,0.00
290,141.00,72.00,"Van Hoften, James D. A.","Van Hoften, James D. A.","M",1944.00,"U.S.","Civ","1978 NASA group",1978.00,1.00,2.00,"MSP",1984.00,"STS-41 C","STS-41 C","STS-41 C","STS-41 C",167.00,337.95,2.00,10.13,21.89
291,141.00,72.00,"Van Hoften, James D. A.","Van Hoften, James D. A.","M",1944.00,"U.S.","Civ","1978 NASA group",1978.00,2.00,2.00,"MSP",1985.00,"STS-51I","STS-51I","STS-51I","STS-51I",171.00,337.95,2.00,11.76,21.89
292,142.00,73.00,"Nelson, George D.","Nelson, George D.","M",1950.00,"U.S.","Civ","NASA-8",1978.00,1.00,3.00,"MSP",1984.00,"STS-41C","STS-41C","STS-41C","STS-41C",168.00,411.00,2.00,10.10,10.10
293,142.00,73.00,"Nelson, George D.","Nelson, George D.","M",1950.00,"U.S.","Civ","NASA-8",1978.00,2.00,3.00,"MSP",1986.00,"STS-61C","STS-61C","STS-61C","STS-61C",146.00,411.00,0.00,0.00,10.10
294,142.00,73.00,"Nelson, George D.","Nelson, George D.","M",1950.00,"U.S.","Civ","NASA-8",1978.00,3.00,3.00,"MSP",1988.00,"STS-26","STS-26","STS-26","STS-26",97.00,411.00,0.00,0.00,10.10
295,143.00,58.00,"Volk, Igor","Игорь Петрович Волк","M",1937.00,"U.S.S.R/Russia","Mil","LII-1",1977.00,1.00,1.00,"MSP",1984.00,"Salyut 7","Soyuz T­12","Salyut 7","Soyuz T­12",283.00,283.23,0.00,0.00,0.00
296,144.00,74.00,"Coats, Michael L.","Coats, Michael L.","M",1952.00,"U.S.","Mil","NASA- 8",1978.00,1.00,3.00,"pilot",1984.00,"STS-41-D","STS-41-D","STS-41-D","STS-41-D",145.00,464.00,0.00,0.00,0.00
297,144.00,74.00,"Coats, Michael L.","Coats, Michael L.","M",1952.00,"U.S.","Mil","NASA- 8",1978.00,2.00,3.00,"commander",1989.00,"STS-29","STS-29","STS-29","STS-29",120.00,464.00,0.00,0.00,0.00
298,144.00,74.00,"Coats, Michael L.","Coats, Michael L.","M",1952.00,"U.S.","Mil","NASA- 8",1978.00,3.00,3.00,"commander",1991.00,"STS-39","STS-39","STS-39","STS-39",199.00,464.00,0.00,0.00,0.00
299,145.00,75.00,"Mullane, Richard M.","Mullane, Richard M.","M",1945.00,"U.S.","Mil","NASA-8",1978.00,1.00,3.00,"MSP",1984.00,"STS-41D","STS-41D","STS-41D","STS-41D",145.00,356.00,0.00,0.00,0.00
300,145.00,75.00,"Mullane, Richard M.","Mullane, Richard M.","M",1945.00,"U.S.","Mil","NASA-8",1978.00,2.00,3.00,"MSP",1988.00,"STS-27","STS-27","STS-27","STS-27",105.00,356.00,0.00,0.00,0.00
301,145.00,75.00,"Mullane, Richard M.","Mullane, Richard M.","M",1945.00,"U.S.","Mil","NASA-8",1978.00,3.00,3.00,"MSP",1990.00,"STS-36","STS-36","STS-36","STS-36",106.00,356.00,0.00,0.00,0.00
302,146.00,76.00,"Hawley, Steven A.","Hawley, Steven A.","M",1951.00,"U.S.","Civ","NASA Astronaut Group 8",1978.00,1.00,5.00,"MSP",1984.00,"STS-41-D","STS-41-D","STS-41-D","STS-41-D",144.00,768.00,0.00,0.00,0.00
303,146.00,76.00,"Hawley, Steven A.","Hawley, Steven A.","M",1951.00,"U.S.","Civ","NASA Astronaut Group 8",1978.00,2.00,5.00,"MSP",1986.00,"STS-61-C","STS-61-C","STS-61-C","STS-61-C",146.00,768.00,0.00,0.00,0.00
304,146.00,76.00,"Hawley, Steven A.","Hawley, Steven A.","M",1951.00,"U.S.","Civ","NASA Astronaut Group 8",1978.00,3.00,5.00,"MSP",1990.00,"STS-31","STS-31","STS-31","STS-31",121.00,768.00,0.00,0.00,0.00
305,146.00,76.00,"Hawley, Steven A.","Hawley, Steven A.","M",1951.00,"U.S.","Civ","NASA Astronaut Group 8",1978.00,4.00,5.00,"MSP",1997.00,"STS-82","STS-82","STS-82","STS-82",239.00,768.00,0.00,0.00,0.00
306,146.00,76.00,"Hawley, Steven A.","Hawley, Steven A.","M",1951.00,"U.S.","Civ","NASA Astronaut Group 8",1978.00,5.00,5.00,"MSP",1999.00,"STS-93","STS-93","STS-93","STS-93",118.00,768.00,0.00,0.00,0.00
307,147.00,77.00,"Resnik, Judith A.","Resnik, Judith A.","F",1949.00,"U.S.","Civ","NASA-8",1978.00,1.00,2.00,"MSP",1984.00,"STS-41-D","STS-41-D","STS-41-D","STS-41-D",144.00,144.00,0.00,0.00,0.00
308,147.00,77.00,"Resnik, Judith A.","Resnik, Judith A.","F",1949.00,"U.S.","Civ","NASA-9",1978.00,2.00,2.00,"MSP",1985.00,"STS-51-L","STS-51-L","explosion","explosion",0.00,144.00,0.00,0.00,0.00
309,148.00,78.00,"Walker, Charles David","Walker, Charles David","M",1948.00,"U.S.","Civ","PS",1983.00,1.00,3.00,"PSP",1984.00,"STS-41D","STS-41D","STS-41D","STS-41D",144.98,478.29,0.00,0.00,0.00
310,148.00,78.00,"Walker, Charles David","Walker, Charles David","M",1948.00,"U.S.","Civ","PS",1983.00,2.00,3.00,"PSP",1985.00,"STS-51D","STS-51D","STS-51D","STS-51D",168.15,478.29,0.00,0.00,0.00
311,148.00,78.00,"Walker, Charles David","Walker, Charles David","M",1948.00,"U.S.","Civ","PS",1983.00,3.00,3.00,"PSP",1985.00,"STS-61B","STS-61B","STS-61B","STS-61B",165.16,478.29,0.00,0.00,0.00
312,149.00,79.00,"McBride, Jon A.","McBride, Jon A.","M",1943.00,"U.S.","Mil","NASA- 8",1978.00,1.00,1.00,"pilot",1984.00,"STS-41-G","STS-41-G","STS-41-G","STS-41-G",197.00,197.00,0.00,0.00,0.00
313,150.00,80.00,"Sullivan, Kathryn D.","Sullivan, Kathryn D.","F",1951.00,"U.S.","Civ","1978 NASA group",1978.00,1.00,3.00,"MSP",1984.00,"STS-41-G","STS-41-G","STS-41-G","STS-41-G",197.50,532.00,1.00,3.45,3.45
314,150.00,80.00,"Sullivan, Kathryn D.","Sullivan, Kathryn D.","F",1951.00,"U.S.","Civ","1978 NASA group",1978.00,2.00,3.00,"MSP",1990.00,"STS-31","STS-31","STS-31","STS-31",121.00,532.00,0.00,0.00,3.45
315,150.00,80.00,"Sullivan, Kathryn D.","Sullivan, Kathryn D.","F",1951.00,"U.S.","Civ","1978 NASA group",1978.00,3.00,3.00,"MSP",1992.00,"STS-45","STS-45","STS-45","STS-45",213.50,532.00,0.00,0.00,3.45
316,151.00,81.00,"Leestma, David C.","Leestma, David C.","M",1949.00,"U.S.","Mil","NASA- 9",1980.00,1.00,3.00,"MSP",1984.00,"STS-41-G","STS-41-G","STS-41-G","STS-41-G",197.00,532.00,1.00,1.00,3.50
317,151.00,81.00,"Leestma, David C.","Leestma, David C.","M",1949.00,"U.S.","Mil","NASA- 9",1980.00,2.00,3.00,"MSP",1989.00,"STS-28","STS-28","STS-28","STS-28",121.00,532.00,0.00,0.00,3.50
318,151.00,81.00,"Leestma, David C.","Leestma, David C.","M",1949.00,"U.S.","Mil","NASA- 9",1980.00,3.00,3.00,"MSP",1992.00,"STS-45","STS-45","STS-45","STS-45",214.00,532.00,0.00,0.00,3.50
319,152.00,82.00,"Scully-Power, Paul Desmond","Scully-Power, Paul Desmond","M",1944.00,"U.S.","Civ","PS",1984.00,1.00,1.00,"PSP",1984.00,"STS-41-G","STS-41-G","STS-41-G","STS-41-G",197.67,197.67,0.00,0.00,0.00
320,153.00,1.00,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre","M",1949.00,"Canada","Mil","1983 NRC Group",1983.00,1.00,3.00,"PSP",1984.00,"STS-41-G","STS-41-G","STS-41-G","STS-41-G",197.00,697.67,0.00,0.00,0.00
321,153.00,1.00,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre","M",1949.00,"Canada","Mil","1983 NRC Group",1983.00,2.00,3.00,"MSP",1996.00,"STS-77","STS-77","STS-77","STS-77",240.67,697.67,0.00,0.00,0.00
322,153.00,1.00,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre","M",1949.00,"Canada","Mil","1983 NRC Group",1983.00,3.00,3.00,"MSP",2000.00,"STS-97","STS-97","STS-97","STS-97",260.00,697.67,0.00,0.00,0.00
323,154.00,83.00,"Walker, David Mathieson","Walker, David Mathieson","M",1944.00,"U.S.","Mil","1978 NASA group 8",1978.00,1.00,4.00,"pilot",1984.00,"STS-51-A","STS-51-A","STS-51-A","STS-51-A",191.00,724.45,0.00,0.00,0.00
324,154.00,83.00,"Walker, David Mathieson","Walker, David Mathieson","M",1944.00,"U.S.","Mil","1978 NASA group 8",1978.00,2.00,4.00,"commander",1989.00,"STS-30","STS-30","STS-30","STS-30",96.00,724.45,0.00,0.00,0.00
325,154.00,83.00,"Walker, David Mathieson","Walker, David Mathieson","M",1944.00,"U.S.","Mil","1978 NASA group 8",1978.00,3.00,4.00,"commander",1992.00,"STS-53","STS-53","STS-53","STS-53",175.00,724.45,0.00,0.00,0.00
326,154.00,83.00,"Walker, David Mathieson","Walker, David Mathieson","M",1944.00,"U.S.","Mil","1978 NASA group 8",1978.00,4.00,4.00,"commander",1995.00,"STS-69","STS-69","STS-69","STS-69",44.00,724.45,0.00,0.00,0.00
