"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
657,283.00,178.00,"Davis, Nancy Jan","Davis, Nancy Jan","F",1953.00,"U.S.","Civ","NASA- 12",1987.00,3.00,3.00,"MSP",1997.00,"STS-85","STS-85","STS-85","STS-85",284.00,673.00,0.00,0.00,0.00
658,284.00,179.00,"Jemison, Mae C.","Jemison, Mae C.","F",1956.00,"U.S.","Civ","NASA- 12",1987.00,1.00,1.00,"MSP",1992.00,"STS-47","STS-47","STS-47","STS-47",190.50,190.50,0.00,0.00,0.00
659,285.00,2.00,"Mohri, Mamoru","毛利衛","M",1948.00,"Japan","Civ","NASDA-1",1985.00,1.00,2.00,"PSP",1992.00,"STS-47","STS-47","STS-47","STS-47",190.50,190.50,0.00,0.00,0.00
660,285.00,2.00,"Mohri, Mamoru","毛利衛","M",1948.00,"Japan","Civ","NASDA-1",1985.00,2.00,2.00,"MSP",2000.00,"STS-99","STS-99","STS-99","STS-99",269.70,190.50,0.00,0.00,0.00
661,286.00,3.00,"Steven MacLean","Steven MacLean","M",1954.00,"Canada","Mil","1983 NRC Group",1983.00,1.00,2.00,"PSP",1992.00,"STS-52","STS-52","STS-52","STS-52",236.93,520.03,0.00,0.00,7.18
662,286.00,3.00,"Steven MacLean","Steven MacLean","M",1954.00,"Canada","Mil","1983 NRC Group",1983.00,2.00,2.00,"MSP",2006.00,"STS-115","STS-115","STS-115","STS-115",283.10,520.03,1.00,7.18,7.18
663,287.00,180.00,"Clifford, Michael R.","Clifford, Michael R.","M",1952.00,"U.S.","Mil","NASA- 13",1990.00,1.00,3.00,"MSP",1992.00,"STS-53","STS-53","STS-53","STS-53",175.00,666.00,0.00,0.00,6.03
664,287.00,180.00,"Clifford, Michael R.","Clifford, Michael R.","M",1952.00,"U.S.","Mil","NASA- 13",1990.00,2.00,3.00,"MSP",1994.00,"STS-59","STS-59","STS-59","STS-59",270.00,666.00,0.00,0.00,6.03
665,287.00,180.00,"Clifford, Michael R.","Clifford, Michael R.","M",1952.00,"U.S.","Mil","NASA- 13",1990.00,3.00,3.00,"MSP",1996.00,"STS-76","STS-76","STS-76","STS-76",221.00,666.00,1.00,6.03,6.03
666,288.00,181.00,"Helms, Susan J.","Helms, Susan J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,1.00,5.00,"MSP",1993.00,"STS-54","STS-54","STS-54","STS-54",143.00,5054.00,0.00,0.00,8.93
